,county,voted_A,voted_B,voted_C,voted_D,voted_E,voted_F,voted_G
100,MITCHELL,0.3893206039076377,0.5580595026642984,0.004440497335701598,0.006882770870337478,0.0008880994671403197,0.0026642984014209592,0.03774422735346359
101,MONROE,0.17630150111785373,0.7527307569466624,0.00632385819227084,0.006068348770360907,0.0014053018205046311,0.007793037368252954,0.04937719578409454
102,MONTGOMERY,0.1993406036013188,0.7562769464874461,0.001521683996956632,0.011666243976667512,0.000760841998478316,0.003296981993406036,0.027136697945726602
103,MORGAN,0.15969031818955248,0.791305087629743,0.003913561340820147,0.007401735579377233,0.0007656967840735069,0.003913561340820147,0.03301003913561341
104,MURRAY,0.003885255455546202,0.8912776015022987,0.001942627727773101,0.04403289516285696,0.001100822379071424,0.005763128925726867,0.05199766884672667
105,MUSCOGEE,0.44412586293885287,0.4419477498984778,0.01733876425925698,0.0258543248464861,0.0014643810836420018,0.016932675387322644,0.05233624158596163
106,NEWTON,0.44069381543482644,0.4661618291497827,0.005427308898219622,0.016813656282660114,0.00133849172152038,0.01303654265754781,0.05652835585544289
107,OCONEE,0.03428324017948516,0.853774698890026,0.024364323388176023,0.018066598441313076,0.0009052979611115484,0.008659371801936551,0.05994646933795166
108,OGLETHORPE,0.1271570187247583,0.7970872598213193,0.002570064863541794,0.01346224452331416,0.0011014563700893403,0.008077346713988496,0.05054460898298862
109,PAULDING,0.1904800802856676,0.6872826568954653,0.007270053912759353,0.0314024319088851,0.0018204308352976872,0.015555348099050108,0.06618899806287488
110,PEACH,0.37403547848222096,0.5462572587701854,0.00556837164903349,0.0230689682602816,0.0017500596611248111,0.009466231803356933,0.039853631373796834
111,PICKENS,0.005942924389526331,0.9273315681082671,0.0034716092968520153,0.008473080317740512,0.0015298617240364814,0.004177699323330391,0.04907325684024713
112,PIERCE,0.06179094613944267,0.8689282960678488,0.0029738958035025885,0.0066086573411168635,0.0015420200462606013,0.003194184381539817,0.054962000220288576
113,PIKE,0.07330232558139535,0.8640930232558139,0.003069767441860465,0.005209302325581395,0.0011162790697674418,0.005302325581395349,0.04790697674418604
114,POLK,0.09515322256080032,0.8274593227160352,0.0030472028977174726,0.0217328810440982,0.0006324383372621169,0.006784338526993618,0.04519059391709308
115,PULASKI,0.2312807881773399,0.7238916256157636,0.006157635467980296,0.006896551724137931,0.0009852216748768472,0.008374384236453201,0.022413793103448276
116,PUTNAM,0.18233666023651765,0.7566887528306634,0.0033548603539377674,0.011322653694539964,0.0008387150884844419,0.004696804495512874,0.040761553300343874
117,QUITMAN,0.4087656529516995,0.5330948121645797,0.0035778175313059034,0.008050089445438283,0.006261180679785331,0.006261180679785331,0.03398926654740608
118,RABUN,0.0035291675316587085,0.923500103799045,0.0029063732613659955,0.012040689225659124,0.0015569856757317833,0.004774756072244135,0.051691924434295204
119,RANDOLPH,0.5141004862236629,0.4518638573743922,0.0012965964343598054,0.0032414910858995136,0.0012965964343598054,0.0032414910858995136,0.024959481361426256
120,RICHMOND,0.5312128690247692,0.3546636504889864,0.009859702038204918,0.014646741614112056,0.001565213417420711,0.01790284251896536,0.07014898089754136
121,ROCKDALE,0.5530660377358491,0.3047125311498754,0.012281950872196511,0.02269490922036312,0.0016242435030259879,0.0194686721253115,0.08615165539337842
122,SCHLEY,0.15411558669001751,0.8047285464098074,0.00394045534150613,0.010070052539404553,0.00043782837127845885,0.004816112084063047,0.021891418563922942
123,SCREVEN,0.32581227436823107,0.6239470517448856,0.0024067388688327317,0.0034596871239470518,0.0009025270758122744,0.004061371841155234,0.03941034897713598
124,SEMINOLE,0.2496798975672215,0.7037131882202304,0.0028169014084507044,0.006402048655569782,0.0005121638924455825,0.005633802816901409,0.031241997439180536
